Date,AMZNAdjCloseAMZN,AMZNVolumeAMZN,ACNAdjCloseACN,ACNVolumeACN,NVDAAdjCloseNVDA,NVDAVolumeNVDA,AAPLAdjCloseAAPL,AAPLVolumeAAPL,GOOGLAdjCloseGOOGL,GOOGLVolumeGOOGL
2024-01-23 00:00:00+00:00,156.02000427246094,37986000,365.3376159667969,1693100,59.86015701293945,294654000,194.44215393066406,42355600,146.6768035888672,21636100
2024-01-24 00:00:00+00:00,156.8699951171875,48547300,364.38934326171875,2250100,61.34883117675781,560271000,193.7647247314453,53631300,148.33270263671875,25233500
2024-01-25 00:00:00+00:00,157.75,43638600,367.3922119140625,2227400,61.60377883911133,482777000,193.43597412109375,54822100,151.494873046875,29149100
2024-01-26 00:00:00+00:00,159.1199951171875,51047400,366.5328369140625,1404800,61.017906188964844,390309000,191.6925811767578,44594000,151.8140869140625,26115500
2024-01-29 00:00:00+00:00,161.25999450683594,45270400,368.78497314453125,1683100,62.45159912109375,348733000,191.0052032470703,47145600,153.1308135986328,27784300
2024-01-30 00:00:00+00:00,159.0,45207400,366.760009765625,1849500,62.760528564453125,410735000,187.32913208007812,55859400,151.0858917236328,36331800
2024-01-31 00:00:00+00:00,155.1999969482422,50284400,359.4307556152344,2320100,61.513797760009766,453795000,183.70291137695312,55467800,139.7539520263672,71910000
2024-02-01 00:00:00+00:00,159.27999877929688,76542400,366.3747863769531,1500000,63.01347732543945,369146000,186.15362548828125,64885400,140.81134033203125,40466500
2024-02-02 00:00:00+00:00,171.80999755859375,117154900,368.38983154296875,1590500,66.14580535888672,476578000,185.14743041992188,102518000,142.0283203125,62470600
2024-02-05 00:00:00+00:00,170.30999755859375,55081300,365.811767578125,1787300,69.31713104248047,680078000,186.9705047607422,69668800,143.32508850097656,38505400
2024-02-06 00:00:00+00:00,169.14999389648438,42505500,360.24072265625,4012000,68.20836639404297,683111000,188.5843963623047,43490800,143.74407958984375,29128200
2024-02-07 00:00:00+00:00,170.52999877929688,47174100,362.1668701171875,2531800,70.08395385742188,495575000,188.69398498535156,53439000,145.18051147460938,25208900
