Date,AMZNAdjCloseAMZN,ACNAdjCloseACN,NVDAAdjCloseNVDA,AAPLAdjCloseAAPL,GOOGLAdjCloseGOOGL,AMZNVolumeAMZN,ACNVolumeACN,NVDAVolumeNVDA,AAPLVolumeAAPL,GOOGLVolumeGOOGL,AMZNpct_closeAMZN,ACNpct_closeACN,NVDApct_closeNVDA,AAPLpct_closeAAPL,GOOGLpct_closeGOOGL,AMZNMovingAvgAMZN,ACNMovingAvgACN,NVDAMovingAvgNVDA,AAPLMovingAvgAAPL,GOOGLMovingAvgGOOGL
2024-02-26 00:00:00+00:00,174.72999572753906,372.8644714355469,79.07503509521484,180.70545959472656,137.23019409179688,44368600,1455000,503973000,40867400,53641800,-0.14858549486425066,0.04240617500723687,0.348918549041799,-0.7451293910742507,-4.438736623867223,171.0864268711635,364.324462890625,72.62827028547015,184.5071313040597,143.62578691755022
2024-02-27 00:00:00+00:00,173.5399932861328,373.2891845703125,78.68411254882812,182.17176818847656,138.53697204589844,31141700,1083200,391705000,54318900,33099200,-0.6810521779339163,0.11390549845911035,-0.49436910893053687,0.811435690453699,0.9522525000783988,171.3999982561384,365.2564958844866,73.3765378679548,184.04908643450057,143.25385175432478
2024-02-28 00:00:00+00:00,173.16000366210938,373.40771484375,77.6463394165039,180.9647979736328,136.0431365966797,28180500,1264200,393110000,48953900,37328600,-0.21896371944472026,0.03175293534793955,-1.318910639908688,-0.6625451500229196,-1.8001226765606781,171.58785574776786,366.05941118512834,73.91670826503209,183.49700273786272,142.60118321010046
2024-02-29 00:00:00+00:00,176.75999450683594,370.1974792480469,79.09502410888672,180.29647827148438,138.1179962158203,53805400,3329500,507289000,136682600,42133000,2.078996747858297,-0.8597132485723913,1.8657475719646044,-0.36930923010000116,1.5251483250432907,172.08214133126395,366.503908429827,74.59306335449219,182.97474343436105,142.07035500662667
2024-03-01 00:00:00+00:00,178.22000122070312,376.3315124511719,82.26134490966797,179.20921325683594,136.80125427246094,31956200,2109900,479135000,73488000,31119500,0.8259825521836239,1.6569624449049636,4.003185834322909,-0.6030428464671833,-0.953345675028372,172.35142735072546,367.1614794049944,75.31762204851422,182.31996154785156,141.22530364990234
2024-03-04 00:00:00+00:00,177.5800018310547,379.01824951171875,85.21871185302734,174.66065979003906,133.0206298828125,37381500,1642900,615616000,81510100,55999400,-0.3591063770984282,0.7139282711265071,3.5950870321982853,-2.538124789531915,-2.763588981515286,172.72571345738,368.3101152692522,76.24520874023438,181.46140725272042,140.21494947160994
2024-03-05 00:00:00+00:00,174.1199951171875,372.27178955078125,85.9495849609375,169.69314575195312,132.34230041503906,37228300,1539400,520639000,95132400,40194800,-1.9484213752621549,-1.7799828819928365,0.8576439282145687,-2.8440943965615473,-0.5099430579835862,173.1171417236328,369.3028259277344,77.2335706438337,180.3983666556222,139.32643563406808
2024-03-06 00:00:00+00:00,173.50999450683594,376.1734619140625,88.68512725830078,168.69566345214844,131.07542419433594,32090900,1451200,582520000,68587700,35318600,-0.35033346396604603,1.0480709182904668,3.182728920222866,-0.5878153153355714,-0.9572723284468121,173.297855922154,369.99779183524,78.29078347342355,179.32748958042689,138.2904292515346
2024-03-07 00:00:00+00:00,176.82000732421875,382.1791687011719,92.65345764160156,168.57595825195312,134.04808044433594,34063300,1564300,608119000,71765100,37738200,1.9076784751165476,1.5965259102943774,4.474628955250615,-0.07095926341299519,2.2678974859487555,173.79928479875838,371.0843418666295,79.72014399937221,178.26872362409318,137.69262368338448
2024-03-08 00:00:00+00:00,175.35000610351562,373.5460205078125,87.5133285522461,170.30162048339844,135.07553100585938,37853500,1641100,1142269000,76114600,39343100,-0.8313545751684748,-2.2589269380377197,-5.547692682164451,1.023670426874368,0.7664791305609819,174.21642848423548,371.6974661690848,80.78556605747768,177.44365692138672,137.32852499825614
